Price,risk_adj_ret,label
2015-04-27,-8.341054907897657,-1
2015-04-28,-7.511937413903304,-1
2015-04-29,-6.190622780030253,-1
2015-04-30,-5.270407649865878,-1
2015-05-01,-8.197923926191134,-1
2015-05-04,-5.782725675884079,-1
2015-05-05,-3.9140269045423977,-1
2015-05-06,-3.19072250964821,-1
2015-05-07,-5.091217980169168,-1
2015-05-08,0.42528218088749237,0
2015-05-11,0.3416377132405422,0
2015-05-12,1.9437449845721235,1
2015-05-13,2.226339893888383,1
2015-05-14,1.5825577833473055,1
2015-05-15,1.935461369501881,1
2015-05-18,1.3434206874695735,1
2015-05-19,1.1599255439267824,1
2015-05-20,1.9092995558188073,1
2015-05-21,2.5162730458060496,1
2015-05-22,1.7123917723288193,1
2015-05-26,6.832859091758246,1
2015-05-27,-2.2415931687384667,-1
2015-05-28,-1.0867073591120449,-1
2015-05-29,-2.494075906629938,-1
2015-06-01,-3.212503577605137,-1
2015-06-02,-1.5211750541047802,-1
2015-06-03,-0.27799980169242017,0
2015-06-04,-0.3360753468733023,0
2015-06-05,-0.847329140393311,-1
2015-06-08,0.0681775847976609,0
2015-06-09,-1.3178045277036419,-1
2015-06-10,-0.9782940697216487,-1
2015-06-11,-1.619000123390648,-1
2015-06-12,-1.1865896531600604,-1
2015-06-15,-2.689554992660645,-1
2015-06-16,-3.6038266665302205,-1
2015-06-17,-3.4146042628474866,-1
2015-06-18,-4.2454661809787115,-1
2015-06-19,-4.809797364592245,-1
2015-06-22,-5.743671129993601,-1
2015-06-23,-5.237169462290186,-1
2015-06-24,-4.711705546595804,-1
2015-06-25,-4.320019855679881,-1
2015-06-26,-2.715049974858786,-1
2015-06-29,-0.8082428697145264,-1
2015-06-30,-1.0701811180726846,-1
2015-07-01,-0.6532781428349056,0
2015-07-02,-1.0639440492867087,-1
2015-07-06,-1.6203402829301943,-1
2015-07-07,0.0,0
2015-07-08,-0.830459432114384,-1
2015-07-09,0.9124456981836525,1
2015-07-10,-1.2272357844535096,-1
2015-07-13,-1.8942099846601474,-1
2015-07-14,-0.5413809423973335,0
2015-07-15,0.9444280889473973,1
2015-07-16,-0.705251555801198,0
2015-07-17,-0.44948341240609857,0
2015-07-20,2.240067372122965,1
2015-07-21,2.08722884519553,1
2015-07-22,4.682062301294304,1
2015-07-23,2.88079403722999,1
2015-07-24,12.97403686003525,1
2015-07-27,17.261125914052077,1
2015-07-28,15.162814468633531,1
2015-07-29,12.290274170307491,1
2015-07-30,11.208512760837978,1
2015-07-31,13.060564390757662,1
2015-08-03,11.15435946021001,1
2015-08-04,10.501450018725263,1
2015-08-05,9.286791644742872,1
2015-08-06,8.269198618120466,1
2015-08-07,-5.596380404801618,-1
2015-08-10,-3.2587947477097505,-1
2015-08-11,-3.6744174049544065,-1
2015-08-12,-1.9743626223270232,-1
2015-08-13,-0.8635757140047898,-1
2015-08-14,-0.7632556546884589,-1
2015-08-17,-0.8817914540551226,-1
2015-08-18,-1.6365591570074558,-1
2015-08-19,-0.8306181494631873,-1
2015-08-20,0.12041586857036117,0
2015-08-21,0.2983185794690957,0
2015-08-24,4.934446921980503,1
2015-08-25,6.412670564832908,1
2015-08-26,2.3747618417311003,1
2015-08-27,0.027509172149171753,0
2015-08-28,-0.050064683921638896,0
2015-08-31,0.5811737179458998,0
2015-09-01,2.023720897258993,1
2015-09-02,1.3283150884600665,1
2015-09-03,1.1734693574525916,1
2015-09-04,2.197827218697323,1
2015-09-08,0.253238620387843,0
2015-09-09,0.960646146533299,1
2015-09-10,1.058815855914977,1
2015-09-11,1.5181865794512828,1
2015-09-14,1.063107840707761,1
2015-09-15,1.329091176091763,1
2015-09-16,2.66922507037383,1
2015-09-17,1.8421391017211142,1
2015-09-18,3.528582475241424,1
2015-09-21,4.351681554564431,1
2015-09-22,7.988737814497495,1
2015-09-23,9.433109730240886,1
2015-09-24,9.833046731389647,1
2015-09-25,8.488307220592889,1
2015-09-28,10.626607817268663,1
2015-09-29,8.407847743220703,1
2015-09-30,7.802923829262063,1
2015-10-01,7.410905255851364,1
2015-10-02,6.189387569069811,1
2015-10-05,4.472175319039884,1
2015-10-06,3.595576345516377,1
2015-10-07,2.970434427186211,1
2015-10-08,4.781576513881121,1
2015-10-09,5.438414377358603,1
2015-10-12,4.355933505091521,1
2015-10-13,4.688520822960389,1
2015-10-14,2.8691111061342527,1
2015-10-15,0.566722096573602,0
2015-10-16,1.4474864373249472,1
2015-10-19,2.703657732111911,1
2015-10-20,2.2785318703893074,1
2015-10-21,1.9021797928733641,1
2015-10-22,-1.8029676522967344,-1
2015-10-23,6.222081461944289,1
2015-10-26,6.434190770566102,1
2015-10-27,4.995362196317449,1
2015-10-28,3.8189623520325657,1
2015-10-29,7.2920340864741595,1
2015-10-30,2.7441962672270694,1
2015-11-02,3.0547506982546504,1
2015-11-03,3.4076329489396713,1
2015-11-04,5.620443364340686,1
2015-11-05,6.324914412146727,1
2015-11-06,-0.0779577034379103,0
2015-11-09,-0.2484706502565778,0
2015-11-10,0.32523397423734157,0
2015-11-11,0.4980624135602614,0
2015-11-12,0.7454824168138453,0
2015-11-13,1.4584935897422482,1
2015-11-16,1.712621579408812,1
2015-11-17,1.5327952055543352,1
2015-11-18,0.9489656142311841,1
2015-11-19,1.7973132065631658,1
2015-11-20,1.1794056483094317,1
2015-11-23,5.761665694494512,1
2015-11-24,3.1824550178251996,1
2015-11-25,4.139825221377145,1
2015-11-27,2.5299796135167885,1
2015-11-30,1.944137715160527,1
2015-12-01,0.603002400104407,0
