Price,risk_adj_ret,label
2015-04-27,0.6338269102206645,0
2015-04-28,-0.07854263868139147,0
2015-04-29,-0.8565438727646725,-1
2015-04-30,0.6337219958345817,0
2015-05-01,-1.4793843081819371,-1
2015-05-04,-2.390435513421838,-1
2015-05-05,-1.4061900509020218,-1
2015-05-06,-0.5211896989487224,0
2015-05-07,0.5068260767110803,0
2015-05-08,-2.5165591904232745,-1
2015-05-11,-1.8587376731214358,-1
2015-05-12,-2.042740040899925,-1
2015-05-13,-1.6152266845462413,-1
2015-05-14,-1.9391049995799559,-1
2015-05-15,-2.43100641910605,-1
2015-05-18,-2.21609629186048,-1
2015-05-19,-2.6355924714860386,-1
2015-05-20,-3.778543041727013,-1
2015-05-21,-3.8322584138788534,-1
2015-05-22,-2.275905335252637,-1
2015-05-26,-1.3189157927465969,-1
2015-05-27,0.19277956896279733,0
2015-05-28,-0.03978102496119606,0
2015-05-29,-2.375899850958588,-1
2015-06-01,-3.019191494730908,-1
2015-06-02,-1.072188153245006,-1
2015-06-03,-0.5210397672508975,0
2015-06-04,3.111913421864871,1
2015-06-05,2.2283880279047237,1
2015-06-08,0.764574189703288,1
2015-06-09,1.0379743386121267,1
2015-06-10,-1.5948448682695795,-1
2015-06-11,-2.9484668302690573,-1
2015-06-12,-0.40954299630755164,0
2015-06-15,-1.7682692549797576,-1
2015-06-16,-2.8587673537866722,-1
2015-06-17,-3.765288620912327,-1
2015-06-18,-3.710045680441705,-1
2015-06-19,-4.34191270347616,-1
2015-06-22,-3.652686069114816,-1
2015-06-23,-5.111637419054922,-1
2015-06-24,-5.163138616375874,-1
2015-06-25,-3.010768166914081,-1
2015-06-26,-2.3659904430270533,-1
2015-06-29,0.5744220992935267,0
2015-06-30,-0.736015637126864,0
2015-07-01,1.0745859438494967,1
2015-07-02,-0.9732699615703508,-1
2015-07-06,-1.4031980512644568,-1
2015-07-07,-2.145067771237772,-1
2015-07-08,-0.30692656149247327,0
2015-07-09,-0.7448729721547108,0
2015-07-10,-3.6646813460614207,-1
2015-07-13,-4.741734004111122,-1
2015-07-14,-0.9240005822989894,-1
2015-07-15,0.5875952366424189,0
2015-07-16,0.15501570348539315,0
2015-07-17,-5.8410579866967325,-1
2015-07-20,-7.02719090723141,-1
2015-07-21,-8.041553118151777,-1
2015-07-22,-8.55202390153535,-1
2015-07-23,-6.534521848517612,-1
2015-07-24,-6.34816590529921,-1
2015-07-27,-0.9370746011378963,-1
2015-07-28,-7.588735661247462,-1
2015-07-29,-2.8149860456613927,-1
2015-07-30,-2.7974660926749215,-1
2015-07-31,-0.09446909633272961,0
2015-08-03,0.8666095181722122,1
2015-08-04,0.8764364779623539,1
2015-08-05,-0.13575714079032425,0
2015-08-06,-1.6738752117806948,-1
2015-08-07,-2.354163868495475,-1
2015-08-10,-5.3373418063214135,-1
2015-08-11,-4.723242799859448,-1
2015-08-12,-4.1606591038401675,-1
2015-08-13,-2.4113851006544795,-1
2015-08-14,-2.0957863656467723,-1
2015-08-17,-3.2489639271381705,-1
2015-08-18,-5.8019282512134405,-1
2015-08-19,-3.065863638411788,-1
2015-08-20,-0.7051815682235997,0
2015-08-21,0.29358423363722863,0
2015-08-24,3.908736799347007,1
2015-08-25,2.5459974048513194,1
2015-08-26,0.014392781920085562,0
2015-08-27,-1.0485452112730191,-1
2015-08-28,-1.1323197933637044,-1
2015-08-31,-1.0389962224497444,-1
2015-09-01,1.0144430220596075,1
2015-09-02,0.5147007714959657,0
2015-09-03,-0.45627842668780805,0
2015-09-04,0.3953187652987843,0
2015-09-08,-0.331883352532393,0
2015-09-09,0.15853326036978876,0
2015-09-10,0.10474281193317671,0
2015-09-11,0.3463512212502608,0
2015-09-14,0.08286163910332435,0
2015-09-15,0.08291660443011437,0
2015-09-16,0.03672987453293161,0
2015-09-17,-0.3973321126879802,0
2015-09-18,3.454111964064941,1
2015-09-21,3.137353782316678,1
2015-09-22,5.066459029558341,1
2015-09-23,7.071058421769769,1
2015-09-24,8.46163138243771,1
2015-09-25,6.985334805853859,1
2015-09-28,7.716914867177095,1
2015-09-29,6.9018080279246385,1
2015-09-30,6.358070586440291,1
2015-10-01,8.25137478493431,1
2015-10-02,7.140520063955001,1
2015-10-05,4.7556276457377225,1
2015-10-06,3.25404327211544,1
2015-10-07,1.1719368740220657,1
2015-10-08,3.4906552492895475,1
2015-10-09,4.611478460501194,1
2015-10-12,2.0389859131250887,1
2015-10-13,2.26690757477134,1
2015-10-14,2.3541006760564556,1
2015-10-15,0.85745233043446,1
2015-10-16,0.3081685363926447,0
2015-10-19,5.960817577642407,1
2015-10-20,6.185079206837501,1
2015-10-21,6.084631404551198,1
2015-10-22,2.0413424099394772,1
2015-10-23,1.1891731008076816,1
2015-10-26,1.2332319149882773,1
2015-10-27,1.470009278938765,1
2015-10-28,0.03775638775549843,0
2015-10-29,-1.545943882980243,-1
2015-10-30,-2.9835236864042254,-1
2015-11-02,-2.7487492045672113,-1
2015-11-03,-4.237420363255145,-1
2015-11-04,-3.0886444750024253,-1
2015-11-05,-2.5930111419110604,-1
2015-11-06,-3.005271241932665,-1
2015-11-09,-1.2876974636528595,-1
2015-11-10,-0.3600631061877441,0
2015-11-11,-0.28644803104276295,0
2015-11-12,1.4722823674707974,1
2015-11-13,2.5602017692815777,1
2015-11-16,0.679078247678335,0
2015-11-17,-0.26727257217234884,0
2015-11-18,-1.6468113989774797,-1
2015-11-19,-0.9813192021522995,-1
2015-11-20,-2.0772135669094856,-1
2015-11-23,-3.8992707123384265,-1
