Price,risk_adj_ret,label
2015-04-27,-4.2686865832169,-1
2015-04-28,-2.8466616321552336,-1
2015-04-29,-1.2884039301701404,-1
2015-04-30,2.4910033395742524,1
2015-05-01,0.16734544847499608,0
2015-05-04,0.8440915229895826,1
2015-05-05,2.1900022510337536,1
2015-05-06,2.3616316406426163,1
2015-05-07,2.671121000232257,1
2015-05-08,2.118080767400816,1
2015-05-11,1.3488098174308132,1
2015-05-12,2.691746037791503,1
2015-05-13,2.577964236178636,1
2015-05-14,0.5957917248138062,0
2015-05-15,0.841086490987481,1
2015-05-18,-0.1321912707255796,0
2015-05-19,0.027960496427714553,0
2015-05-20,-0.492724772846552,0
2015-05-21,-1.9952317026029314,-1
2015-05-22,-3.3725771513976315,-1
2015-05-26,-1.776952357735595,-1
2015-05-27,-2.0072090682491552,-1
2015-05-28,-1.9082917542106075,-1
2015-05-29,-1.8615833141112317,-1
2015-06-01,-2.342462442043297,-1
2015-06-02,-1.5379518679008686,-1
2015-06-03,-1.8981779053341374,-1
2015-06-04,-1.0017864862318984,-1
2015-06-05,-1.3766676810522895,-1
2015-06-08,-0.1349955907425535,0
2015-06-09,-0.29451884293235864,0
2015-06-10,-0.7342695589175254,0
2015-06-11,-1.3609965480159225,-1
2015-06-12,-0.5304183510408583,0
2015-06-15,-3.0505117361889162,-1
2015-06-16,-2.8419174208852116,-1
2015-06-17,-0.8503115201960849,-1
2015-06-18,-1.765499951280523,-1
2015-06-19,-0.7226255894582668,0
2015-06-22,-2.1399361364496152,-1
2015-06-23,-4.7592234533423365,-1
2015-06-24,-8.41166199485889,-1
2015-06-25,-4.736715183813221,-1
2015-06-26,-1.2114329417061045,-1
2015-06-29,1.348933348075318,1
2015-06-30,1.313008015256747,1
2015-07-01,1.7469129634404712,1
2015-07-02,2.7044206387992844,1
2015-07-06,5.2777626819197,1
2015-07-07,4.65972163361739,1
2015-07-08,2.6610884260920793,1
2015-07-09,3.8550908153983996,1
2015-07-10,0.8771963541342526,1
2015-07-13,-1.4908671577431394,-1
2015-07-14,-1.0485207840460642,-1
2015-07-15,-1.9017967508232918,-1
2015-07-16,-2.98561056436495,-1
2015-07-17,-3.94380146163597,-1
2015-07-20,-6.299895428312256,-1
2015-07-21,-7.258180158749993,-1
2015-07-22,-4.4824846039051796,-1
2015-07-23,-3.5858932833032986,-1
2015-07-24,-3.4490300332755837,-1
2015-07-27,-1.1228285262619888,-1
2015-07-28,-4.335812484371092,-1
2015-07-29,-3.3261605099150806,-1
2015-07-30,-3.179042076558137,-1
2015-07-31,-2.443510102858031,-1
2015-08-03,-0.40657905095335206,0
2015-08-04,1.5393267620396482,1
2015-08-05,0.07492190181878332,0
2015-08-06,-1.7676194934062426,-1
2015-08-07,-6.815156480192891,-1
2015-08-10,-10.760182242971062,-1
2015-08-11,-4.653273439488068,-1
2015-08-12,-2.001937873213959,-1
2015-08-13,-0.7705815356374588,-1
2015-08-14,-0.9143643016238531,-1
2015-08-17,-1.476440018511967,-1
2015-08-18,-3.0449175743888173,-1
2015-08-19,-1.0423315851211072,-1
2015-08-20,-0.891816474474464,-1
2015-08-21,1.4057904436950905,1
2015-08-24,2.974136301790092,1
2015-08-25,2.3973151279444727,1
2015-08-26,1.154568901058349,1
2015-08-27,0.37709151769295846,0
2015-08-28,0.5544328346566225,0
2015-08-31,0.9733734580790399,1
2015-09-01,2.537976892276864,1
2015-09-02,0.4089824351122104,0
2015-09-03,0.7394098547883198,0
2015-09-04,1.446261954249385,1
2015-09-08,0.3076675103492551,0
2015-09-09,1.2365621162649887,1
2015-09-10,0.6766468027687783,0
2015-09-11,0.16063147019301965,0
2015-09-14,-0.9564036859083678,-1
2015-09-15,-2.3743452711434947,-1
2015-09-16,-2.010763709911328,-1
2015-09-17,-1.9007770346810957,-1
2015-09-18,-1.5221131280031346,-1
2015-09-21,-2.3094922947739795,-1
2015-09-22,-1.1229353575750856,-1
2015-09-23,-1.9894883274076418,-1
2015-09-24,-3.4370234267180426,-1
2015-09-25,-1.8156995288176807,-1
2015-09-28,-0.6384964478875995,0
2015-09-29,1.956177102124762,1
2015-09-30,-0.05515977402141618,0
2015-10-01,1.3256537972703366,1
2015-10-02,0.4076222709535173,0
2015-10-05,0.5687369288774015,0
2015-10-06,1.588613725412922,1
2015-10-07,1.9972092457895623,1
2015-10-08,4.206340161840188,1
2015-10-09,4.828570431152102,1
2015-10-12,2.090927300201419,1
2015-10-13,1.694310047714433,1
2015-10-14,7.997915218239343,1
2015-10-15,7.059194941554287,1
2015-10-16,6.539839526064795,1
2015-10-19,7.1407626069035395,1
2015-10-20,6.475745483814081,1
2015-10-21,5.516533181463069,1
2015-10-22,3.9746252437522953,1
2015-10-23,1.689835310720107,1
2015-10-26,3.671249146661906,1
2015-10-27,1.3113698365122002,1
2015-10-28,-1.2156814072734792,-1
2015-10-29,-1.7107842174749872,-1
2015-10-30,-2.685768203671225,-1
2015-11-02,-2.56952378694297,-1
2015-11-03,-3.2605696740191576,-1
2015-11-04,-1.6618933641492253,-1
2015-11-05,-0.8430523174943716,-1
2015-11-06,-0.6895238002874564,0
2015-11-09,-1.2280721598353288,-1
2015-11-10,1.19439229192247,1
2015-11-11,0.8765366636370435,1
2015-11-12,1.375130452413476,1
2015-11-13,4.296599828717424,1
2015-11-16,1.8743714822656876,1
2015-11-17,1.506401056451624,1
2015-11-18,-1.2778624164413768,-1
2015-11-19,0.11330148643605988,0
2015-11-20,-0.44432413376638147,0
2015-11-23,0.21098948184340735,0
2015-11-24,-1.3944163481766227,-1
