Price,risk_adj_ret,label
2015-04-27,-0.27879874768670804,0
2015-04-28,0.08392339801717771,0
2015-04-29,-0.11934575775230434,0
2015-04-30,0.5117870886293183,0
2015-05-01,0.14934912097226402,0
2015-05-04,0.10844286890462343,0
2015-05-05,0.02610578976279138,0
2015-05-06,0.2392445732868306,0
2015-05-07,0.23418181547370315,0
2015-05-08,-0.2939688451486177,0
2015-05-11,-1.2950626095719748,-1
2015-05-12,0.07451842250072063,0
2015-05-13,-0.06727783078413282,0
2015-05-14,-0.645918634039536,0
2015-05-15,1.1800604503265466,1
2015-05-18,1.210545746778543,1
2015-05-19,3.15047309142053,1
2015-05-20,1.4247881443099542,1
2015-05-21,-0.9512512109666533,-1
2015-05-22,-0.8502384794577437,-1
2015-05-26,0.002242240408901715,0
2015-05-27,-0.14292144497835974,0
2015-05-28,1.296396424905288,1
2015-05-29,0.13698874100254466,0
2015-06-01,-1.5126773566418281,-1
2015-06-02,-0.8617308233008079,-1
2015-06-03,-2.0115080327810877,-1
2015-06-04,2.0042648669949403,1
2015-06-05,1.6573462412734998,1
2015-06-08,3.016743100786328,1
2015-06-09,4.864569127723447,1
2015-06-10,2.3525685356289885,1
2015-06-11,1.6969443696731688,1
2015-06-12,2.1212908331195677,1
2015-06-15,1.592326893995875,1
2015-06-16,1.5752984238788348,1
2015-06-17,2.10444087539667,1
2015-06-18,-0.40080456132934583,0
2015-06-19,0.20855398583489362,0
2015-06-22,0.07897190366333759,0
2015-06-23,-3.050142434030937,-1
2015-06-24,-1.0887442809759764,-1
2015-06-25,0.5514510106952945,0
2015-06-26,2.834275232433294,1
2015-06-29,5.968899431685465,1
2015-06-30,4.295796220265368,1
2015-07-01,5.960101717694516,1
2015-07-02,7.026820580767993,1
2015-07-06,10.040293533551997,1
2015-07-07,10.238639646885874,1
2015-07-08,11.919191863206565,1
2015-07-09,11.623101403947697,1
2015-07-10,19.298774765110302,1
2015-07-13,13.552208715821319,1
2015-07-14,8.884618861282904,1
2015-07-15,11.176872102095135,1
2015-07-16,9.054119604928129,1
2015-07-17,6.76134166004554,1
2015-07-20,5.9457615134867625,1
2015-07-21,5.831311123956803,1
2015-07-22,6.414429478272278,1
2015-07-23,7.5477307808044225,1
2015-07-24,-0.8396981195387996,-1
2015-07-27,-0.4399748121421188,0
2015-07-28,0.08541085699992267,0
2015-07-29,-0.17831234010417701,0
2015-07-30,-0.41382885731165087,0
2015-07-31,-0.27479060751814766,0
2015-08-03,0.01120651957091495,0
2015-08-04,0.18354762400079477,0
2015-08-05,-0.2365276250119809,0
2015-08-06,-0.805903771216111,-1
2015-08-07,-1.6734113258037664,-1
2015-08-10,-11.941379117561237,-1
2015-08-11,-12.024965019508535,-1
2015-08-12,-5.090756937232704,-1
2015-08-13,-2.3070244367631676,-1
2015-08-14,-3.1392793647041737,-1
2015-08-17,-5.063640611161467,-1
2015-08-18,-8.385863568235003,-1
2015-08-19,-5.0404271449816616,-1
2015-08-20,-2.7539203067239666,-1
2015-08-21,0.7556062241466963,1
2015-08-24,6.828399950464447,1
2015-08-25,4.401493877955895,1
2015-08-26,1.7428129510975563,1
2015-08-27,0.5818357633730027,0
2015-08-28,0.16816202941094716,0
2015-08-31,0.47823127457290787,0
2015-09-01,1.6101082286490194,1
2015-09-02,1.401826077079365,1
2015-09-03,1.7133040062589924,1
2015-09-04,2.474333106654542,1
2015-09-08,1.0679529027895072,1
2015-09-09,1.1777906792971793,1
2015-09-10,0.6944331319226544,0
2015-09-11,-0.4291048057746481,0
2015-09-14,-1.6175657264564336,-1
2015-09-15,-2.366701774499296,-1
2015-09-16,-1.4037870576414204,-1
2015-09-17,-1.9516847477132533,-1
2015-09-18,-0.8689659702998704,-1
2015-09-21,-0.557587148006398,0
2015-09-22,-0.12089482622467342,0
2015-09-23,0.8474129709392325,1
2015-09-24,-0.08439812773613733,0
2015-09-25,2.2651584060329926,1
2015-09-28,6.633668075181244,1
2015-09-29,5.965481986977348,1
2015-09-30,3.5424112928320937,1
2015-10-01,3.768570412579712,1
2015-10-02,3.4634834953365123,1
2015-10-05,2.4342724913238256,1
2015-10-06,1.9082949915756109,1
2015-10-07,1.1429739443800655,1
2015-10-08,2.57376795340082,1
2015-10-09,4.761055208253646,1
2015-10-12,4.7384501944994,1
2015-10-13,6.522710464582654,1
2015-10-14,8.47797197787807,1
2015-10-15,7.855707241551085,1
2015-10-16,5.881946176063304,1
2015-10-19,6.091941219178532,1
2015-10-20,7.6340234535893945,1
2015-10-21,9.262748763771057,1
2015-10-22,9.570004941207,1
2015-10-23,6.309187788839151,1
2015-10-26,3.2052141573184576,1
2015-10-27,3.329285616843145,1
2015-10-28,3.849900403515454,1
2015-10-29,2.739539304889453,1
2015-10-30,1.2090031413267546,1
2015-11-02,1.4069980630911825,1
2015-11-03,1.3065980098652588,1
2015-11-04,1.7651908563962777,1
2015-11-05,0.4506485891513384,0
2015-11-06,0.7169895167065438,0
2015-11-09,3.604312114793606,1
2015-11-10,1.613339125922024,1
2015-11-11,0.28971985773304926,0
2015-11-12,1.0043751179455342,1
2015-11-13,2.730168560539538,1
2015-11-16,2.6442921231829692,1
2015-11-17,2.7735528667388656,1
2015-11-18,0.22138630843469004,0
2015-11-19,0.8866428865955884,1
2015-11-20,0.11321488361212816,0
2015-11-23,-0.1324743104337553,0
2015-11-24,-0.5052089953890467,0
2015-11-25,-0.9979248314960313,-1
2015-11-27,-2.6897593495981944,-1
2015-11-30,-0.5799234576033162,0
2015-12-01,-2.1851159852229105,-1
