Price,ret_1d,ret_3d,ret_5d,ret_10d,log_ret_1d,log_ret_5d,cum_ret_5d,cum_ret_10d,vol_5d,vol_10d,vol_20d,vol_ratio_5_20,vol_ratio_10_20,hl_vol_5d,hl_vol_10d,rsi_14,rsi_divergence,dmi_spread,roc_5d,roc_10d,mom_slope_5d,mom_slope_10d,dist_sma_20,dist_sma_50,trend_alignment,dist_ema_20,dist_ema_50,price_range_pos_20,volume_zscore,volume_change_1d,volume_change_5d,volume_price_corr_10d,vol_weighted_momentum,ad_momentum_14d,volume_surprise,parkinson_vol,garman_klass_vol,atr_percentile,lr_slope_conf_20,obv_divergence
2015-09-22,0.009169155952647223,0.0021936567375362426,0.022238417780366504,0.06044896755209117,0.009127374448753223,0.02199475007406182,0.022238417780366504,0.06044896755209073,0.013216613012313428,0.011601562347931974,0.024573261865685782,0.5378233976894508,0.47210216979626923,0.01788841937062437,0.017670255010256732,58.281534701428555,-0.9716908971978827,0.2355598248446651,0.022238417780366504,0.06044896755209117,0.0044785503574954035,0.005946838603778304,0.027500720014034866,0.013861307745684705,0.5,0.01595119144698662,0.03693689270602055,0.9207767544984434,-0.4055253630042694,-0.4610994706660785,0.30565760470242465,0.17508780460138343,0.0006613047200330647,-0.015117277369184223,0.8650737575761339,0.009956767405872913,0.0001355529266476032,0.2885317750182615,0.000918499855556048,10930630.159664957
2015-09-23,-0.020660432179028798,-0.027498788581975964,-0.017847890071874928,0.014474684777079805,-0.020876844883959578,-0.01800908452932859,-0.017847890071874928,0.014474684777080027,0.01406356531482723,0.012500644809454575,0.023148601511004716,0.6075078790510402,0.5399939520994387,0.017443210040363855,0.017897674370862347,60.6294531480607,-1.1002735587732013,0.3567554944650385,-0.017847890071874928,0.014474684777079805,-0.003515752563754848,0.0015086367541528255,0.0035596477249023157,-0.009538691938657529,0.0,-0.004561102406653821,0.014895900385658847,0.6880049082781747,0.5502096908099187,0.39054586381541934,0.529342260732572,0.10949612968222679,0.005230257841751315,0.14978626083808688,1.1801175879326058,0.012704038528752598,0.00020733724471652613,0.26223520818115414,0.00046522639130694394,8778266.580782637
2015-09-24,0.00013804193226696349,-0.011544285447275371,-0.018376610851162378,0.015355800231826144,0.00013803240535592565,-0.0185475582930672,-0.0183766108511626,0.015355800231826144,0.01402542959432675,0.012486380967996005,0.022985067293284922,0.6101709098547752,0.5432151924328411,0.018611612615856137,0.016792974343281124,54.3673622439659,-0.885802913850111,0.36306325677477075,-0.018376610851162378,0.015355800231826144,-0.0036234911875022034,0.0015954277180124988,0.0005606776600051689,-0.011473783579085722,0.0,-0.004004073210274924,0.014437838345675654,0.5696571609067863,-0.9171370294579256,-0.46359589419079505,0.11077251257047083,0.20348887356315978,0.006242723500759821,-0.06320846884629117,0.6559455332763514,0.00874969990919261,0.00010599312051718027,0.22242512783053323,0.00011456675941948812,5320218.16033223
2015-09-25,0.002479587498680713,-0.018096548888157926,-0.024952807914765618,0.005882519622566695,0.0024765183939612356,-0.025269407016933698,-0.024952807914765507,0.0058825196225671395,0.012742305757671647,0.011964956792582039,0.015092264609834791,0.8442378827287467,0.792734845765949,0.01800667715707154,0.016996412364633864,59.95540316685504,-1.0122315496819567,0.18573250702648916,-0.024952807914765618,0.005882519622566695,-0.004975734109310359,0.0006513044976394933,0.0034127980456705093,-0.011145874753872334,-0.5,-0.001388482384857257,0.01627757148972456,0.6075848098623046,-0.1903876373481941,0.3268861454046639,-0.1897302730775674,0.11075399481197415,-0.0015532004771464966,0.14114947965457492,0.8812450561867053,0.013501096331050419,0.0002206250690448851,0.17713659605551496,0.00020172502509844438,4814787.897883407
2015-09-28,-0.022537391145941887,-0.019978421680562297,-0.03142577438281935,-0.02311918559843129,-0.02279523966594077,-0.03193015930182996,-0.03142577438281924,-0.02311918559843129,0.014384867284764593,0.013775804198089039,0.0155615679633931,0.9243247848684908,0.8851883718993576,0.02097143298735627,0.01875963931838854,55.805741310402226,-1.0376800385443499,0.2541148999853858,-0.03142577438281935,-0.02311918559843129,-0.0062822075882751575,-0.0022505932598570477,-0.017107526708867095,-0.03455073593781574,-0.5,-0.02166821620608497,-0.0063684590654384775,0.26199918828027907,0.762890303696465,0.2529721906337228,-0.3317159241288046,-0.0513836569473975,-0.0038390967104519748,0.01594000301636722,1.0933281146239544,0.01750590808439878,0.00011363140970531535,0.17275383491599708,0.00025989771206467907,2845187.9667599914
2015-09-29,-0.024837970554248523,-0.044452074467402736,-0.06406492712306378,-0.043251211957128666,-0.0251516377444041,-0.06620917149498728,-0.06406492712306378,-0.043251211957128555,0.013247380878173653,0.015534061283410483,0.016233363445712235,0.8160086425607593,0.9568629737381718,0.025721434363516316,0.02180492686707034,39.917847062404725,-0.7259288179560085,-0.1186116108343409,-0.06406492712306378,-0.043251211957128666,-0.013083632889654306,-0.004302541266079452,-0.038905680421529226,-0.05638532194297314,-0.5,-0.04177296625802698,-0.029867037048894072,0.0,0.6367035156711247,-0.017202970297029663,0.2187547961323988,-0.15624119292771377,-0.0046593416004755755,-0.19965511185325946,1.0669473837926378,0.023831434768963676,0.0005752343015507765,0.18882395909422936,7.487567556556973e-05,-3854787.6786513594
2015-09-30,-0.002627077517258214,-0.04931966800568688,-0.0468308137836696,-0.06384287263915711,-0.002630534340955837,-0.047962860951983544,-0.0468308137836696,-0.06384287263915722,0.013123106408532651,0.013202858311241867,0.015826572849876368,0.8291294270451048,0.8341682225360912,0.026856078557470676,0.022149644298917266,39.44379033409559,-0.7849586692225392,-0.2862880119358201,-0.0468308137836696,-0.06384287263915711,-0.00947696195730019,-0.006496357260527519,-0.03956668047368845,-0.05686181092909385,-0.5,-0.04024192429419702,-0.031184090802518945,0.0,0.11136390845232387,-0.11577047391176598,-0.2250101173613922,-0.050426070708004735,-0.003920473568590332,-0.18282313464498756,0.9485370629414392,0.015965252168263958,0.00034506713386663556,0.1862673484295106,2.31995938305399e-06,-10403805.802525628
2015-10-01,0.02531274550196283,-0.0027806153786666954,-0.022838374031648345,-0.04079529297075779,0.02499768361436505,-0.023103209742974418,-0.022838374031648456,-0.04079529297075801,0.020493816095221145,0.016561372971906987,0.01566365178359914,1.308284178820887,1.0572448848972633,0.02711747357347315,0.022864543094664645,44.03903435118083,-0.6678490817904215,-0.21769172067847883,-0.022838374031648345,-0.04079529297075779,-0.004442021243361016,-0.00403275621543161,-0.01592416462039368,-0.03131617197303039,-1.0,-0.01445092173355749,-0.0064011683335267675,0.3212387009434115,1.098542995850752,0.2569190600522193,0.8159807956104252,0.06914047124475631,-0.0005100494356606172,-0.04293625406461732,1.1707992852965252,0.009620839963891419,8.735226673085804e-05,0.1760409057706355,-3.235200504495126e-06,-11293539.14760377
2015-10-02,0.005686316702866012,0.028434105903954565,-0.019712631859660212,-0.04417355425813718,0.005670210631347761,-0.019909517505587893,-0.019712631859660212,-0.04417355425813718,0.020812279621153108,0.016280599441650407,0.0147119177195454,1.4145582825835423,1.106551382396601,0.026617727540251122,0.022312202348661332,43.7275821940901,-0.30521918381367574,-0.16252435729938547,-0.019712631859660212,-0.04417355425813718,-0.0038006754025239563,-0.004388204755917158,-0.010106369379786801,-0.024235468521082562,-1.0,-0.00801097695619866,-0.0007218111544094625,0.39522920887409946,0.11607007378949497,-0.19730331986252214,0.09857334849581312,0.08130414150549276,-0.0013262546792565952,-0.054221903374399805,0.9452162362902183,0.011983765644409918,0.0001835394844277765,0.17384952520087654,-1.4808428615998433e-05,-5984205.872518286
2015-10-05,0.023348845908249594,0.055218997473540865,0.026306211365915377,-0.005946256080155865,0.02308043168409757,0.025966153844450446,0.026306211365915377,-0.005946256080155754,0.02060052531170061,0.017842029200358024,0.015311869162217369,1.3453079950901616,1.1651656532389796,0.027869830091444076,0.024420631539400176,51.912261918545276,-0.010991272232665744,-0.021548689034973437,0.026306211365915377,-0.005946256080155865,0.00537657200831434,-0.00045281778998040867,0.01145163930821104,-0.0009137313432295824,-1.0,0.013688135372526071,0.0217042629193256,0.7007726212244434,0.6290112910370866,0.14779090010822005,0.006353135313531322,-0.256038994240076,0.0005558579740934604,0.13240574697519536,1.0762076015614284,0.0218748391227831,0.00033138827971082135,0.18115412710007306,-2.3331355870330875e-05,-2089296.8627141807
2015-10-06,0.022359566626830807,0.05217968047914279,0.07597911095332699,0.007046587624163214,0.022113256350141608,0.07323104793899615,0.07597911095332721,0.007046587624163214,0.012525060810509402,0.019077228614762007,0.01558659235785148,0.8035276085597993,1.2238726916124925,0.02494465464830959,0.025333044505912956,52.74795089301692,0.20690045036072946,0.008161930004970435,0.07597911095332699,0.007046587624163214,0.014816079444530205,0.0008662232774379497,0.030677961241011298,0.02090035549561713,0.0,0.03277801354537258,0.04272745693412675,1.0,-0.3553771461029066,-0.22193982126752476,-0.20329093732947157,-0.29029723785212347,0.0021864699995847803,0.17145764157702703,0.8505290319462195,0.015510909327713396,0.0002452041043813531,0.19247626004382762,-2.613956834622641e-05,5772412.084913896
2015-10-07,-5.9511390880784276e-05,0.04616821997962339,0.07874903527721622,0.02823034008683578,-5.951316175378807e-05,0.0758020691181982,0.07874903527721644,0.02823034008683578,0.011653428593917598,0.017545135952678648,0.014844687707171183,0.7849706139439018,1.1818338293754826,0.02427224449292856,0.02556416152519962,52.552927723538694,-0.31097096246969724,0.05909525355880388,0.07874903527721622,0.02823034008683578,0.015329592669805691,0.002926315356252751,0.028426224041657292,0.02042487249975271,0.0,0.029508744266411206,0.04092377797899947,0.9991853947545688,0.06978374704068395,0.12681770284510008,0.015286019463565115,-0.37658483472868665,0.0010702994143844545,0.17069400393212852,0.9622041403157782,0.014071669460251443,0.0002699965188233353,0.19138056975894813,-6.575776097689391e-06,6980593.808339233
2015-10-08,-0.002441829017489683,0.019802445896801135,0.049547973826711056,0.02557800463629789,-0.0024448151440288335,0.048359570359804316,0.04954797382671128,0.02557800463629789,0.012301487704140118,0.01760954000377349,0.014867495554645328,0.8273525494848599,1.184352508231526,0.0272698403049708,0.027193656939221978,49.276079915765905,-0.3525626305948192,-0.11846113281874916,0.049547973826711056,0.02557800463629789,0.009778677765915188,0.0026683282612770865,0.02383072252408128,0.017613443769984735,0.0,0.02436128950860055,0.0368214200702717,0.9657630814636577,0.19937934230304782,0.03693832702108768,-0.16240510631869165,-0.3975254107241334,0.0009730944425886768,0.23684107180927216,0.9979605469668494,0.01853698285525865,0.0004297506905553209,0.1953981008035062,-2.1505381813403454e-06,6876739.183361134
2015-10-09,-0.004477643791257591,-0.0069676394223138205,0.03894072585535979,0.018460469802564994,-0.004487698463605305,0.03820166126485125,0.038940725855360014,0.018460469802565216,0.013884708005809569,0.01775466160720884,0.014750955322050032,0.9412113650490677,1.2035463245113416,0.028534102593316197,0.027575915066783658,52.825270046293646,-0.3625643315571301,-0.10680037423318245,0.03894072585535979,0.018460469802564994,0.007745885667090469,0.001972605132283256,0.018008101496602386,0.01288555491955644,0.0,0.017857641528667662,0.03087801978656319,0.9046253912455003,-0.3322555951159079,-0.11376651485773548,-0.07523643720886464,-0.46344913604892607,0.0003659959611984953,0.6405462679418559,0.8942693139328992,0.01575777291316187,0.00033903418820433606,0.19941563184806427,-1.0625412831889509e-07,7262630.025741105
2015-10-12,0.006356963819392103,-0.0005954926823529272,0.021689953177370214,0.04856674503608649,0.006336843549092919,0.0214580731298466,0.021689953177370214,0.04856674503608649,0.010861311958666221,0.015535072820094696,0.014748682766587277,0.736375970286666,1.0532479285104746,0.024847637305750996,0.026358733698597536,52.01361254109487,0.0015033776328563786,-0.06524656026081989,0.021689953177370214,0.04856674503608649,0.00434750924931897,0.004862040628816655,0.023234858203179828,0.019117671119828053,0.0,0.021960280187575416,0.03591066793844095,0.9910346426546105,-0.9987050042368185,-0.1827617787727689,-0.3415593998524227,-0.5161331564066883,0.0003414392777862375,0.5440130597139268,0.7500589266217277,0.010542471640376173,0.00014195358226166274,0.20160701241782322,8.368619332736323e-07,7168545.155171298
2015-10-13,0.0077318170886728765,0.009596983375799395,0.0070717843563550264,0.08358820319793181,0.0077020797748832415,0.007046896554588233,0.0070717843563552485,0.08358820319793203,0.005387427659012726,0.011508992781857604,0.014752968692036355,0.3651510838518086,0.7800608108969169,0.022898925101014052,0.02392178987466182,61.950827905578784,0.23347174968954432,0.10939247878052501,0.0070717843563550264,0.08358820319793181,0.0014219593416873843,0.008119019393108795,0.029266665126598028,0.026407313497267746,0.5,0.026941279890032626,0.042125226583091514,1.0,-1.4688090003217487,-0.1693437928028888,-0.2970495258166491,-0.5457085114565369,0.0007380103447544415,0.5573581551199469,0.6462417287979794,0.009589731893843531,8.275577698041407e-05,0.20927684441197955,1.2345166047881296e-05,5376339.12973599
2015-10-14,0.009964299574469981,0.024243105951740285,0.01716708233650599,0.09726800878624653,0.009914983272479194,0.017021392988821216,0.01716708233650599,0.09726800878624675,0.006457146641352592,0.010873946519138554,0.014314189970400357,0.451069573977299,0.7596089567531209,0.02271020199476419,0.023491223243846372,64.38752365187982,0.12060790405072597,0.18801981699266054,0.01716708233650599,0.09726800878624653,0.0034267215347575375,0.009378157102281615,0.03809306282655858,0.036054637790691714,0.5,0.03351499066427768,0.050346414603852196,1.0,-0.03339908833589761,0.5906910508169689,-0.007668209660073866,-0.6048928426617746,0.0004242530900507553,0.6967063810954239,1.0252397998580818,0.013541760209738504,0.00018764279667151724,0.20745069393718044,0.00012650173643408597,2212521.0016567227
2015-10-15,-0.004040036019950732,0.013661318583158666,0.015537459522568131,0.06585528298703713,-0.0040482190126311934,0.015417989120218856,0.015537459522568131,0.06585528298703736,0.0068480051961080785,0.010023099082733944,0.014366204806012823,0.4766414405982518,0.6976373774903782,0.019804684757931353,0.023537262531451074,62.145194028451805,0.4324510586762697,0.3083297324210651,0.015537459522568131,0.06585528298703713,0.0031070801342653275,0.006442878950090258,0.03273082013805227,0.031270568537004904,0.5,0.02647134237729394,0.044215078274897866,0.9544248686248129,-1.1468939244201362,-0.2627809452009612,-0.2944942958921405,-0.47036945023230997,0.0002543155820441304,0.4355458186521368,0.7738212480746792,0.009774555655290722,0.0001232967392106321,0.21621621621621623,0.0003900563560180379,-1031212.2861782275
2015-10-16,0.01853279122650986,0.02452584573302352,0.03901052225663393,0.07947034616466375,0.018363151774221986,0.03826883935804615,0.03901052225663393,0.07947034616466397,0.008094893489066262,0.010714751195585208,0.014783933330645713,0.5475096375502376,0.7247074407414494,0.017388694893240846,0.022961398743278523,75.70744244250972,0.6755395556806667,0.37169390265534846,0.03901052225663393,0.07947034616466375,0.007709167137818817,0.007727526402454643,0.05016866745058017,0.049755055469228406,0.5,0.04098431276468625,0.06092259310178597,1.0,0.40361503821180444,0.5069666368400869,0.19965401444998476,-0.11008761459024877,0.0007573257289157592,0.8821827557332496,1.1479606661616868,0.008512662291985214,5.134936168112142e-05,0.21110299488677867,0.0011749281955179972,248751.37482954975
2015-10-19,0.0033188644405657275,0.01778459749910488,0.035873844779606534,0.058341899970538735,0.00331336916533731,0.03524536497429054,0.035873844779606534,0.05834189997053851,0.00833230905555789,0.00924087357632234,0.014187436574955985,0.5872605492183157,0.6512961119784973,0.015930719981184775,0.020389178643467887,89.82404148916447,-0.04010056344686541,0.776998597792929,0.035873844779606534,0.058341899970538735,0.007101547262053543,0.0057245282556862565,0.05091492244272585,0.05243653905069357,1.0,0.0400374432999751,0.06176036842819634,1.0,-0.6432469721679028,-0.22987530749003304,0.13049433445399083,0.13457537704496472,0.0023455220737675863,1.2269780287965588,0.89394258953288,0.00617333347720815,5.282662500502017e-05,0.20452885317750183,0.002002260531777525,5823575.6167696975
2015-10-20,0.006658888087740733,0.02871796887992306,0.03477095304737765,0.04208863008554875,0.006636815623656478,0.034180100823063775,0.03477095304737787,0.04208863008554897,0.008325832819474821,0.007211419155367971,0.014137612166464879,0.5888719997018318,0.510051415970841,0.015043028802793129,0.01897097695190359,91.93228544540517,-0.02222201942432367,0.7880578964073459,0.03477095304737765,0.04208863008554875,0.006886961461867114,0.004154460401777249,0.05528354055311295,0.058305356537185056,1.0,0.04230107728601545,0.06595325275849011,1.0,-1.32533928271541,-0.16918162793259173,0.13071503522710248,-0.1009797164994089,0.0021779523531635873,1.6033463572933262,0.7613606024995703,0.0069267381486571135,3.836097331416283e-05,0.20051132213294376,0.003337958236500649,14787442.244876107
2015-10-21,-0.028502064556855333,-0.018787228522467836,-0.004640218505131299,0.012447204818237578,-0.02891613528975734,-0.004651017739172758,-0.00464021850513141,0.0124472048182378,0.01749470553731307,0.012630801316861269,0.01490210069892541,1.1738970225554826,0.8475284151956387,0.017722314726587807,0.020216258360676,71.59005287073511,-0.13584969514202183,0.4288110713978916,-0.004640218505131299,0.012447204818237578,-0.0008063113643979492,0.0013102050851797943,0.023138768837872872,0.027617551762308373,1.0,0.01138032935031399,0.03412881987485987,0.7420478298077071,1.5025465379067635,0.737836404613549,0.2353107477736418,-0.05187903753892711,0.0017265796218303665,1.0045302647574332,1.2836189181854536,0.021298291702780317,0.0003683399713835728,0.20635500365230094,0.003561069860691859,17346702.883514788
2015-10-22,-0.012058930655892364,-0.03382620514354684,-0.012654280818203523,0.0026865633283645884,-0.012132229426033536,-0.0127350281525751,-0.012654280818203523,0.0026865633283645884,0.018217867732559196,0.013296789267077056,0.015233295716332454,1.1958457464514163,0.8728194276038487,0.018682467116261706,0.01924357593709653,64.75534068236195,-0.20217635146709245,0.3555286305278372,-0.012654280818203523,0.0026865633283645884,-0.0024100902915862752,0.0003484949213395261,0.009395215477092125,0.015793559137105218,1.0,-0.0007381946068751893,0.020791326750365925,0.6360215443853505,-1.1597174061728035,-0.3906244040126635,0.021091652818611806,0.11144242616195647,0.001243648576547866,0.6676241932750682,0.7987744478144961,0.012582281196391132,0.0001099013859093413,0.21329437545653762,0.003373422261188165,14630315.069955535
2015-10-23,0.013902924965878638,-0.02687350380305009,-0.017142382401377776,0.02119940656505559,0.013807165838473523,-0.017291014088323564,-0.017142382401377665,0.02119940656505559,0.016961617457329138,0.013815803638076518,0.01548372459008132,1.0953774062080406,0.8922214636562654,0.02067868266586014,0.019033688779550494,62.66648281690095,0.10998004463490746,0.2781772822572076,-0.017142382401377776,0.02119940656505559,-0.0033360635437125197,0.002186551797053149,0.02141600426323567,0.030237898149108072,1.0,0.0118867690652802,0.03356536923648795,0.7567867895029271,3.457190301387983,1.7739108662994494,0.8795487318686912,0.012615014841013652,0.0024839050297430806,0.44866684641272214,1.985805196252658,0.014443334293956778,0.00026191488958556,0.2158509861212564,0.003533503297816542,13401660.575455798
