Price,open,high,low,close,adj_close,volume
2015-01-02,101.5,102.62000274658205,100.01000213623048,100.77999877929688,84.4804916381836,3060900.0
2015-01-05,100.3000030517578,100.4499969482422,98.75,99.12000274658205,83.08894348144531,4679000.0
2015-01-06,99.83000183105467,100.13999938964844,98.45999908447266,98.91999816894533,82.92132568359375,3468300.0
2015-01-07,98.95999908447266,100.3000030517578,98.91999816894533,99.93000030517578,83.7679672241211,3225800.0
2015-01-08,101.56999969482422,104.9800033569336,100.72000122070312,104.6999969482422,87.76647186279297,5346100.0
2015-01-09,104.41999816894533,104.62999725341795,102.9000015258789,103.72000122070312,86.9449691772461,3397600.0
2015-01-12,103.83000183105467,104.0,101.91000366210938,102.5500030517578,85.96421813964844,3051500.0
2015-01-13,103.94000244140624,105.5999984741211,101.83999633789062,103.06999969482422,86.40010833740234,3856500.0
2015-01-14,101.61000061035156,103.4800033569336,101.18000030517578,103.33000183105467,86.61804962158203,4725600.0
2015-01-15,103.55999755859376,104.58999633789062,103.12999725341795,104.45999908447266,87.56531524658203,5888900.0
2015-01-16,104.5,106.0,103.6500015258789,105.7699966430664,88.66342163085938,6045500.0
2015-01-20,106.1999969482422,106.37999725341795,104.5,105.62000274658205,88.53768920898438,6526800.0
2015-01-21,106.5199966430664,109.4499969482422,105.62000274658205,109.31999969482422,91.63928985595705,8293700.0
2015-01-22,109.75,114.12000274658205,109.33000183105467,113.8499984741211,95.43666076660156,8055200.0
2015-01-23,113.63999938964844,114.31999969482422,112.0,112.0,93.88582611083984,5256000.0
2015-01-26,112.0,112.0,110.76000213623048,111.61000061035156,93.55889892578124,4203400.0
2015-01-27,110.9499969482422,111.25,109.91999816894533,110.01000213623048,92.21768188476562,4718300.0
2015-01-28,110.56999969482422,110.87999725341795,108.4499969482422,108.45999908447266,90.91837310791016,6633500.0
2015-01-29,108.1500015258789,109.58000183105467,106.73999786376952,109.38999938964844,91.6979522705078,4912300.0
2015-01-30,108.62000274658205,109.38999938964844,106.13999938964844,106.25,89.06576538085938,5397500.0
2015-02-02,106.7300033569336,107.33999633789062,105.06999969482422,107.29000091552734,89.93757629394531,4657100.0
2015-02-03,107.3499984741211,108.0,106.5199966430664,107.80999755859376,90.37348175048828,4192600.0
2015-02-04,106.83000183105467,108.73999786376952,106.75,107.91999816894533,90.4656982421875,4768900.0
2015-02-05,108.31999969482422,109.80999755859376,108.31999969482422,108.81999969482422,91.22013854980467,3297700.0
2015-02-06,108.58999633789062,109.4000015258789,107.19000244140624,107.5999984741211,90.19745635986328,3661400.0
2015-02-09,106.93000030517578,107.23999786376952,106.27999877929688,106.48999786376952,89.2669677734375,3909700.0
2015-02-10,107.26000213623048,109.45999908447266,107.12999725341795,108.97000122070312,91.34587860107422,5437400.0
2015-02-11,108.7300033569336,110.05999755859376,108.37999725341795,109.8499984741211,92.08354949951172,3798500.0
2015-02-12,110.6999969482422,110.77999877929688,108.83000183105467,109.83999633789062,92.07518005371094,3378000.0
2015-02-13,109.69000244140624,109.83999633789062,108.68000030517578,109.44000244140624,91.73986053466795,3727600.0
2015-02-17,109.33999633789062,109.76000213623048,108.5199966430664,109.76000213623048,92.00809478759766,3430600.0
2015-02-18,109.76000213623048,110.22000122070312,108.9499969482422,109.7699966430664,92.01649475097656,2958700.0
2015-02-19,109.54000091552734,110.36000061035156,109.44000244140624,110.02999877929688,92.23445892333984,2674800.0
2015-02-20,109.95999908447266,112.81999969482422,109.44000244140624,112.62000274658205,94.4055633544922,4647100.0
2015-02-23,112.98999786376952,116.48999786376952,112.8499984741211,116.4000015258789,97.57420349121094,7060000.0
2015-02-24,116.26000213623048,116.58000183105467,115.31999969482422,115.43000030517578,96.76107025146484,3582800.0
2015-02-25,115.81999969482422,115.81999969482422,113.72000122070312,114.0500030517578,95.60428619384766,3845900.0
2015-02-26,114.41000366210938,114.62000274658205,113.37000274658205,113.66000366210938,95.27735900878906,3126800.0
2015-02-27,113.7699966430664,114.25,113.41000366210938,113.62999725341795,95.25220489501952,4016400.0
2015-03-02,113.62999725341795,114.8499984741211,113.62999725341795,114.4000015258789,95.89767456054688,2952200.0
2015-03-03,113.9499969482422,114.48999786376952,112.36000061035156,112.86000061035156,94.60677337646484,3163700.0
2015-03-04,112.25,113.97000122070312,111.6500015258789,113.81999969482422,95.41146850585938,3180900.0
2015-03-05,114.06999969482422,115.72000122070312,114.06999969482422,114.79000091552734,96.22459411621094,2941400.0
2015-03-06,115.16000366210938,115.16000366210938,112.61000061035156,112.87999725341795,94.6234893798828,3196900.0
2015-03-09,112.97000122070312,114.95999908447266,112.87000274658205,114.9000015258789,96.31680297851562,3942000.0
2015-03-10,114.26000213623048,114.41000366210938,112.45999908447266,112.45999908447266,94.2714385986328,3957900.0
2015-03-11,112.9000015258789,113.58999633789062,112.63999938964844,112.72000122070312,94.80550384521484,2593700.0
